DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1970-0063-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Khulna, Chittagong",,,Yes,No,No,,,Kph,,,,1970,11,12,1970,11,12,300000,,3648000,,3648000,,,,,86400,678074,12.74196873,,2003-07-01,2023-09-25
1991-0120-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gorky (02B),BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna",,Flood,Yes,No,No,,21360,Kph,,,,1991,4,29,1991,5,10,138866,138849,15000000,300000,15438849,,,80000,178984,1780000,3982395,44.69672184,,2007-08-08,2023-09-25
2008-0184-MMR,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2008-000057,Cyclone 'Nargis',MMR,Myanmar,South-eastern Asia,Asia,"Labutta, Mawlamyinegyunn areas (Myaungmya district, Ayeyawaddy province), Ngapudaw area (Pathein district, Ayeyawaddy province), Bogale, Dedaye, Kyaiklat areas (Pyapon district, Ayeyawaddy province), Kungyangon, Kawhmu, Twantay, Kyauktan areas (Yangon(S) district, Yangon province), Bago (E), Bago (W), Kayin, Kayar, Mon provinces",,Flood,Yes,No,Yes,607329,215,Kph,,,,2008,5,2,2008,5,3,138366,20000,2400000,,2420000,,,,,4000000,5660904,70.66008903,"[{""adm1_code"":2128,""adm1_name"":""Kayin""},{""adm1_code"":2129,""adm1_name"":""Kayar""},{""adm1_code"":2132,""adm1_name"":""Mon""},{""adm1_code"":41772,""adm1_name"":""Bago (E)""},{""adm1_code"":41773,""adm1_name"":""Bago (W)""},{""adm2_code"":41779,""adm2_name"":""Myaungmya""},{""adm2_code"":41780,""adm2_name"":""Pathein""},{""adm2_code"":41781,""adm2_name"":""Pyapon""},{""adm2_code"":41839,""adm2_name"":""Yangon(S)""}]",2010-02-09,2023-09-25
1922-0004-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CHN,China,Eastern Asia,Asia,Swatow,,,No,No,No,,,Kph,,,,1922,7,27,1922,7,27,100000,,,,,,,,,,,5.512738462,,2003-07-01,2023-09-25
1942-0008-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,West Sundarbans,,,No,No,No,,,Kph,,,,1942,10,,1942,10,,61000,,,,,,,,,,,5.348668865,,2003-07-01,2023-09-25
1935-0015-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1935,,,1935,,,60000,,,,,,,,,,,4.49550696,,2003-07-01,2023-09-25
1912-0005-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CHN,China,Eastern Asia,Asia,Wenchou,,,No,No,No,,,Kph,,,,1912,8,,1912,8,,50000,,,,,,,,,,,3.167323086,,2003-07-01,2023-09-25
1942-0009-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Orissa, West Bengal",,,No,No,No,,,Kph,,,,1942,10,14,1942,10,14,40000,,,,,,,,,,,5.348668865,,2003-07-01,2023-09-25
1965-0028-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Barisal district,,,Yes,No,No,,,Kph,,,,1965,5,11,1965,5,11,36000,600000,10000000,5000000,15600000,,,,,57700,557989,10.34071295,,2003-07-01,2023-09-25
1963-0013-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong, Noakhali",,,No,No,No,,,Kph,,,,1963,5,28,1963,5,28,22000,,1000000,,1000000,,,,,50000,497472,10.05081019,,2008-03-14,2023-09-25
1985-0063-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Urir, Jabbar, Bata, Darbesh, Clark, Sudharam, Hatia, Sand Wip Islands Patuakhali, Bhola, North Chittagong, Feni, Noakhali districts",,Flood|Surge,No,No,No,,257,Kph,,,,1985,5,24,1985,5,28,15000,,1300000,510000,1810000,,,,,50000,141634,35.30228249,,2010-07-29,2023-09-25
1998-0345-HND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,HND,Honduras,Latin America and the Caribbean,Americas,Coastal Area,,,Yes,No,No,,270,Kph,,,,1998,10,25,1998,11,8,14600,12000,2100000,,2112000,,,150000,280386,3793600,7091149,53.49768079,,2007-05-06,2023-09-25
1977-0133-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Tamil Nadu, Andhra Pradesh, Kerala",,,Yes,No,No,,,Kph,,,,1977,11,12,1977,11,12,14204,,9037400,5432400,14469800,,,,,498535,2506330,19.89103658,,2003-07-01,2023-09-25
1965-0034-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1965,6,,1965,6,,12047,,,,,,,,,,,10.34071295,,2003-07-01,2023-09-25
1937-0011-HKG,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1937,9,1,1937,9,2,11000,,,,,,,,,,,4.725204396,,2005-12-12,2023-09-25
1961-0004-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Megna Eestuary,,,No,No,No,,,Kph,,,,1961,5,9,1961,5,9,11000,,,,,,,,,11900,121303,9.810138546,,2003-07-01,2023-09-25
1906-0015-HKG,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1906,9,8,1906,9,8,10000,,,,,,,,,20000,678222,2.948887011,,2005-05-02,2023-09-25
1965-0069-PAK,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,PAK,Pakistan,Southern Asia,Asia,Karachi,,,No,No,No,,,Kph,,,,1965,12,15,1965,12,15,10000,,,,,,,,,,,10.34071295,,2003-07-01,2023-09-25
1999-0425-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,05B,IND,India,Southern Asia,Asia,"Kendrapara, Jagatsinghpur, Khurda, Puri, Cuttack, Nayagarh, Bhadrak, Keonjhar, Dhenkanal, Balasore, Mayurbhang, Jajapur (Orissa, Andhra Pradesh, West Bengal states)",,Flood|Surge,Yes,No,No,,260,Kph,,,,1999,10,28,1999,10,30,9843,3312,12625000,,12628312,,,100000,182922,2500000,4573041,54.66822084,,2006-07-07,2023-09-25
1971-0058-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"East coast, Orissa state",,,Yes,No,No,,,Kph,,,,1971,10,27,1971,10,27,9658,,4900000,2000000,6900000,,,,,30000,225751,13.2889561,,2003-07-01,2023-09-25
1974-0047-HND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Fifi,HND,Honduras,Latin America and the Caribbean,Americas,Widespread,,,Yes,No,No,,,Kph,,,,1974,9,18,1974,9,21,8000,,600000,,600000,,,,,540000,3336940,16.18249195,,2005-12-12,2023-09-25
2013-0433-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2013-000139,Typhoon Haiyan (Yolanda),PHL,Philippines,South-eastern Asia,Asia,"Samar, Leyte districts (Region VIII (Eastern Visayas) province), Cebu district (Region VII (Central Visayas) province), Iloilo, Capiz, Aklan districts (Region VI (Western Visayas) province), Palawan district (Region IV (Southern Tagalog) province)",,Surge,Yes,Yes,Yes,865152,315,Kph,,,,2013,11,8,2013,11,8,7354,28689,16078181,,16106870,,,700000,915581,10000000,13079735,76.45414599,"[{""adm2_code"":24246,""adm2_name"":""Aklan""},{""adm2_code"":24248,""adm2_name"":""Capiz""},{""adm2_code"":24250,""adm2_name"":""Iloilo""},{""adm2_code"":24253,""adm2_name"":""Cebu""},{""adm2_code"":24258,""adm2_name"":""Leyte""},{""adm2_code"":24261,""adm2_name"":""Samar""},{""adm2_code"":24233,""adm2_name"":""Palawan""}]",2014-07-29,2023-09-25
1964-0063-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Iris,VNM,Viet Nam,South-eastern Asia,Asia,China sea coast,,,Yes,No,No,,,Kph,,,,1964,9,,1964,11,,7000,,700000,,700000,,,,,50000,491190,10.17935249,,2006-09-17,2023-09-25
1900-0003-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,USA,United States of America,Northern America,Americas,Galveston (Texas),,"Avalanche (Snow, Debris)",No,No,No,,220,Kph,,,,1900,9,8,1900,9,8,6000,,,,,,,,,30000,1098720,2.730450936,,2004-10-18,2023-10-17
1991-0383-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Thelma (Uring),PHL,Philippines,South-eastern Asia,Asia,"Bago, La Cariota, Bacalod (Negros) and Leyte",,"Flood|Slide (land, mud, snow, rock)",Yes,No,No,,,Kph,,,,1991,11,5,1991,11,8,5956,3050,598454,45750,647254,,,,,100000,223730,44.69672184,,2006-07-18,2023-09-25
1960-0031-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Chittagong area, Off-Shore Islands",,,No,No,No,,,Kph,,,,1960,10,30,1960,10,30,5149,,200000,,200000,,,,,,,9.706215691,,2003-07-01,2023-09-25
1959-0013-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Vera,JPN,Japan,Eastern Asia,Asia,Entire nation,,,No,No,No,,,Kph,,,,1959,9,26,1959,9,26,5098,,1500000,,1500000,,,,,600000,6271731,9.566736597,,2004-10-19,2023-09-25
1927-0009-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CHN,China,Eastern Asia,Asia,Yeng-Kong,,,No,No,No,,,Kph,,,,1927,9,26,1927,9,26,5000,,,,,,,,,,,5.709621978,,2003-07-01,2023-09-25
1941-0003-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Bhola, East Meghna estuary",,,No,No,No,,,Kph,,,,1941,5,21,1941,5,21,5000,,,,,,,,,,,4.823646154,,2003-07-01,2023-09-25
1943-0011-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Rajputana,,,No,No,No,,,Kph,,,,1943,7,24,1943,7,24,5000,,,,,,,,,,,5.676808059,,2003-07-01,2023-09-25
1963-0028-HTI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Flora,HTI,Haiti,Latin America and the Caribbean,Americas,South West End Hispaniola,,,No,No,No,,,Kph,,,,1963,10,4,1963,10,8,5000,,,,,,,,,180000,1790900,10.05081019,,2005-12-12,2023-09-25
2007-0556-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2007-000208,Cyclone 'Sidr',BGD,Bangladesh,Southern Asia,Asia,"Bagerhat, Khulna, Satkhira districts (Khulna province), Patuakhali, Barguna, Pirojpur, Barisal, Jhalokati, Bhola districts (Barisal province), Madaripur, Gopalganj, Shariatpur districts (Dhaka province)",,Flood,Yes,No,No,215214,250,Kph,22.61,90.15,,2007,11,15,2007,11,19,4234,55282,8923259,,8978541,,,,,2300000,3379983,68.04767383,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5762,""adm2_name"":""Barisal""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5764,""adm2_name"":""Jhalokati""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5781,""adm2_name"":""Gopalganj""},{""adm2_code"":5784,""adm2_name"":""Madaripur""},{""adm2_code"":5792,""adm2_name"":""Shariatpur""},{""adm2_code"":5795,""adm2_name"":""Bagerhat""},{""adm2_code"":5799,""adm2_name"":""Khulna""},{""adm2_code"":5804,""adm2_name"":""Satkhira""}]",2009-05-27,2023-09-25
1917-0005-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,,Kph,,,,1917,9,,1917,9,,4000,,,,,,,,,50000,1190425,4.200181685,,2003-07-01,2023-09-25
1945-0002-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Makurazaki,JPN,Japan,Eastern Asia,Asia,"Kyushu, Kanto",,,No,No,No,,,Kph,,,,1945,9,18,1945,9,18,3746,,1340691,,1340691,,,,,400000,6772194,5.906505495,,2003-07-01,2023-09-25
1997-0267-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Linda,VNM,Viet Nam,South-eastern Asia,Asia,"Ca Mau, Soc Trang, Ben Tre, Tien Giang, Ba Ria, Binh Thuan, Tra Vinh, Bac Lieu, Dong Thap, Ho Chi Minh City, Can Tho, Kien Giang, Binh Dinh Provinces",,,Yes,No,No,10473,102,Kph,,,,1997,11,2,1997,11,4,3682,857,697225,383045,1081127,,,5000,9491,470000,892180,52.67993394,,2007-05-06,2023-09-25
1998-0344-NIC,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,NIC,Nicaragua,Latin America and the Caribbean,Americas,Chinandega and Esteli,,"Slide (land, mud, snow, rock)",Yes,No,No,,270,Kph,,,,1998,10,25,1998,11,8,3332,228,868000,,868228,,,,,987700,1846248,53.49768079,,2006-02-21,2023-09-25
1934-0008-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Muruto,,,No,No,No,,,Kph,,,,1934,9,21,1934,9,21,3006,,,,,,,,,50000,1137122,4.397065202,,2004-10-19,2023-09-25
1923-0009-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,Honshu,,,No,No,No,,,Kph,,,,1923,9,,1923,9,,3000,,,,,,,,,10000,178216,5.61118022,,2003-07-01,2023-09-25
1960-0030-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Noakhali, Off-Shore Islands",,,No,No,No,,,Kph,,,,1960,10,9,1960,10,9,3000,,,,,,,,,,,9.706215691,,2003-07-01,2023-09-25
1998-0183-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,03A,IND,India,Southern Asia,Asia,"Kutch, Porbandar, Jamnagar, Junagadh, Amreli, Bhavnagar, Banaskhanta, Surat, Bharuch, Rajkot, Valsad, Nasvari districts (Gujarat state), Barmer, Jallore districts (Rajasthan state), Ratnagiri district (Maharasthra)",,,Yes,No,No,98,145,Kph,,,,1998,6,9,1998,6,11,2871,893,4600000,,4600893,,,217000,405625,469000,876674,53.49768079,,2006-07-09,2023-09-25
2004-0473-HTI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Jeanne,HTI,Haiti,Latin America and the Caribbean,Americas,"Artibonite, Centre, Sud, Nord Ouest provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,Yes,40208,,Kph,,,,2004,9,17,2004,9,18,2754,2620,298926,14048,315594,,,,,50000,80659,61.98958593,"[{""adm1_code"":1409,""adm1_name"":""Artibonite""},{""adm1_code"":1410,""adm1_name"":""Centre""},{""adm1_code"":1414,""adm1_name"":""Nord Ouest""},{""adm1_code"":1416,""adm1_name"":""Sud""}]",2005-04-12,2023-09-25
1926-0005-MMR,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,MMR,Myanmar,South-eastern Asia,Asia,Arrakan,,,No,No,No,,,Kph,,,,1926,5,19,1926,5,19,2700,,,40000,40000,,,,,,,5.808063736,,2003-07-01,2023-09-25
1932-0006-CUB,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CUB,Cuba,Latin America and the Caribbean,Americas,Santa Cruz Del Sur (Camaguey province),,,No,No,No,,,Kph,,,,1932,11,9,1932,11,9,2500,,,,,,,,,,,4.46269304,,2008-09-15,2023-09-25
1974-0042-BGD,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1974,8,,1974,8,,2500,,,,,,,,,,,16.18249195,,2003-07-01,2023-09-25
1935-0012-HTI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Jeremie & Jacmel,HTI,Haiti,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1935,10,21,1935,10,21,2150,,,,,,,,,,,4.49550696,,2003-07-01,2023-09-25
1928-0015-GLP,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Felipe,GLP,Guadeloupe,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1928,9,15,1928,9,15,2000,,,,,,,,,,,5.643994139,,2005-12-08,2023-09-25
1930-0009-DOM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,San Zenon,DOM,Dominican Republic,Latin America and the Caribbean,Americas,Santo Domingo,,,No,No,No,,,Kph,,,,1930,9,3,1930,9,3,2000,6000,6000,,12000,,,,,40000,729937,5.479924542,,2003-07-01,2023-09-25
1934-0007-SLV,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,SLV,El Salvador,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1934,6,8,1934,6,8,2000,,,,,,,,,,,4.397065202,,2003-07-01,2023-09-25
1947-0011-HKG,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1947,10,7,1947,10,7,2000,,,,,,,,,,,7.317504029,,2003-07-01,2023-09-25
1956-0013-CHN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,CHN,China,Eastern Asia,Asia,Hopen-Honan province,,,No,No,No,,,Kph,,,,1956,8,,1956,8,,2000,,,,,,,,,,,8.921294773,,2003-07-01,2023-09-25
1947-0009-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Catherine,JPN,Japan,Eastern Asia,Asia,Honshu Island,,,No,No,No,,,Kph,,,,1947,9,15,1947,9,15,1930,,,,,,,,,,,7.317504029,,2003-07-01,2023-09-25
2012-0500-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2012-000197,Typhoon Bopha,PHL,Philippines,South-eastern Asia,Asia,Region XI (Davao Region) province,,,Yes,No,No,,260,Kph,,,,2012,12,4,2012,12,4,1901,2666,6243998,,6246664,,,,,898352,1192233,75.3503857,"[{""adm1_code"":67161,""adm1_name"":""Region XI (Davao Region)""}]",2014-07-29,2023-09-25
1928-0014-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,USA,United States of America,Northern America,Americas,Lake Okeechobee (Florida),,,No,No,No,,249,Kph,,,,1928,9,,1928,9,,1836,,,,,,,,,25000,442949,5.643994139,,2005-09-15,2023-09-25
2005-0467-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Katrina,USA,United States of America,Northern America,Americas,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",,Broken Dam/Burst bank|Flood,No,No,Yes,,280,Kph,,,,2005,8,29,2005,9,19,1833,,500000,,500000,,,60000000,93614347,125000000,195029889,64.09274026,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm2_code"":28739,""adm2_name"":""Mobile""},{""adm2_code"":29826,""adm2_name"":""Orleans""},{""adm2_code"":29834,""adm2_name"":""St. Bernard""},{""adm2_code"":29842,""adm2_name"":""St. Tammany""},{""adm2_code"":30101,""adm2_name"":""Hancock""},{""adm2_code"":30102,""adm2_name"":""Harrison""},{""adm2_code"":30108,""adm2_name"":""Jackson""}]",2007-04-20,2023-09-25
1954-0019-JPN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,JPN,Japan,Eastern Asia,Asia,North Japan,,,No,No,No,,,Kph,,,,1954,9,26,1954,9,26,1761,,,,,,,,,,,8.826944322,,2003-07-01,2023-09-25
1963-0030-CUB,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Flora,CUB,Cuba,Latin America and the Caribbean,Americas,All country,,,No,No,No,,,Kph,,,,1963,10,4,1963,10,4,1750,,,,,,,,,500000,4974723,10.05081019,,2008-09-15,2023-09-25
1973-0028-IDN,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IDN,Indonesia,South-eastern Asia,Asia,Flores,,,No,No,No,,,Kph,,,,1973,6,,1973,6,,1650,,,,,,,,,,,14.57162548,,2003-07-01,2023-09-25
2004-0609-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Winnie,PHL,Philippines,South-eastern Asia,Asia,"Real, Infanta, General Nakar areas (Quezon district, Region IV-A (Calabarzon) province), Isabela district (Region II (Cagayan Valley) province), Bulacan, Nueva Ecija, Aurora districts (Region III (Central Luzon) province), Rizal district (Region IV-A (Calabarzon) province), Camarines Sur district (Region V (Bicol region) province)",,"Flood|Slide (land, mud, snow, rock)",Yes,Yes,No,17278,,Kph,,,,2004,11,29,2004,11,30,1619,1023,880000,,881023,,,,,78200,126150,61.98958593,"[{""adm2_code"":24217,""adm2_name"":""Isabela""},{""adm2_code"":24242,""adm2_name"":""Camarines Sur""},{""adm2_code"":24221,""adm2_name"":""Bulacan""},{""adm2_code"":24222,""adm2_name"":""Nueva Ecija""},{""adm2_code"":24226,""adm2_name"":""Aurora""},{""adm2_code"":24234,""adm2_name"":""Quezon""},{""adm2_code"":24235,""adm2_name"":""Rizal""}]",2005-07-28,2023-09-25
1915-0006-HTI,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,HTI,Haiti,Latin America and the Caribbean,Americas,"South, Southwest area",,,No,No,No,,,Kph,,,,1915,8,12,1915,8,12,1600,,,,,,,,,,,3.314205861,,2003-07-01,2023-09-25
1970-0056-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Joan, Kate",PHL,Philippines,South-eastern Asia,Asia,"(1) Bicol area, (2) Mindanao",,,Yes,No,No,,,Kph,,,,1970,10,13,1970,10,13,1551,985,1214000,,1214985,,,,,85500,671011,12.74196873,,2003-07-01,2023-09-25
2005-0567-GTM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Stan,GTM,Guatemala,Latin America and the Caribbean,Americas,"Escuintla, Jutiapa, Santa Rosa, Suchitepéquez, San Marcos, Quezaltenango, Huehuetenango, Solola, Totonicapan, Retalhuleu, Quiché, Sacatepequez, Chimaltenango provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,Yes,25257,,Kph,,,,2005,10,1,2005,10,13,1513,386,474928,,475314,,,,,988300,1541984,64.09274026,"[{""adm1_code"":64823,""adm1_name"":""Sacatepéquez""},{""adm1_code"":64824,""adm1_name"":""Chimaltenango""},{""adm1_code"":64825,""adm1_name"":""Escuintla""},{""adm1_code"":64826,""adm1_name"":""Santa Rosa""},{""adm1_code"":64827,""adm1_name"":""Sololá""},{""adm1_code"":64828,""adm1_name"":""Totonicapán""},{""adm1_code"":64829,""adm1_name"":""Quetzaltenango""},{""adm1_code"":64830,""adm1_name"":""Suchitepéquez""},{""adm1_code"":64831,""adm1_name"":""Retalhuleu""},{""adm1_code"":64832,""adm1_name"":""San Marcos""},{""adm1_code"":64833,""adm1_name"":""Huehuetenango""},{""adm1_code"":64834,""adm1_name"":""Quiché""},{""adm1_code"":64842,""adm1_name"":""Jutiapa""}]",2007-02-15,2023-09-25
1931-0009-BLZ,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BLZ,Belize,Latin America and the Caribbean,Americas,Belize city,,,No,No,No,,,Kph,,,,1931,9,10,1931,9,10,1500,,,,,,,,,7500,150369,4.987715751,,2003-07-01,2023-09-25
1931-0010-HND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,HND,Honduras,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,1931,9,10,1931,9,10,1500,,,,,,,,,,,4.987715751,,2003-07-01,2023-09-25
1955-0015-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Punjab,,Flood,No,No,No,,,Kph,,,,1955,9,28,1955,9,28,1500,,,375000,375000,,,,,,,8.787284074,,2005-05-02,2023-09-25
